Country;Legal entity;Division;Position title;Link Type;Link Name;Link url;Image
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Local;FIRMA-FI.IT;http://www.firma-fi.it/;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;REP;Local;FONDAZIONE MENARINI;http://www.fondazione-menarini.it;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Local;ALBO MEDICI;http://www.fnomceo.it;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Local;MENARINI EASY CHECK;https://mec.menarini.net;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Local;FUEL CARD;http://www.multicard.eni.com/it;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;REP;Local;WELFARE - FOOD CARD;https://titolari.ticketxte.com/web/beneficiari;
Italy;Fabbrica Italiana Ritrovati Medicinali Ed Affini F.I.R.M.A.;ETH;;Local;NUOVO PORTALE;https://beneficiari.edenred.it/group/portale-beneficiari;
Italy;Relife Italia S.R.L.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Italy;Relife Italia S.R.L.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Italy;Relife Italia S.R.L.;ETH;AM;Corporate;M-Orders;https://mtd-mis.menarini.net/CRM/;
Italy;Relife Italia S.R.L.;ETH;;Local;FOFI.it;http://www.fofi.it/;
Italy;Relife Italia S.R.L.;ETH;AM;Local;FONDAZIONE MENARINI;http://www.fondazione-menarini.it;
Italy;Relife Italia S.R.L.;ETH;;Local;ALBO MEDICI;http://www.fnomceo.it;
Italy;Relife Italia S.R.L.;ETH;;Local;FUEL CARD;http://www.multicard.eni.com/it;
Italy;Relife Italia S.R.L.;ETH;AM;Local;WELFARE - FOOD CARD;https://titolari.ticketxte.com/web/beneficiari;
Italy;Relife Italia S.R.L.;ETH;;Local;MENARINI EASY CHECK;https://mec.menarini.net;
Italy;Relife Italia S.R.L.;ETH;;Local;RELIFECOMPANY.IT;http://www.relifecompany.it;
Italy;Relife Italia S.R.L.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Italy;Relife Italia S.R.L.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Italy;Relife Italia S.R.L.;ETH;REP;Corporate;M-Orders;https://mtd-mis.menarini.net/CRM/;
Italy;Relife Italia S.R.L.;ETH;;Local;FOFI.it;http://www.fofi.it/;
Italy;Relife Italia S.R.L.;ETH;REP;Local;FONDAZIONE MENARINI;http://www.fondazione-menarini.it;
Italy;Relife Italia S.R.L.;ETH;;Local;ALBO MEDICI;http://www.fnomceo.it;
Italy;Relife Italia S.R.L.;ETH;;Local;FUEL CARD;http://www.multicard.eni.com/it;
Italy;Relife Italia S.R.L.;ETH;REP;Local;WELFARE - FOOD CARD;https://titolari.ticketxte.com/web/beneficiari;
Italy;Relife Italia S.R.L.;ETH;;Local;MENARINI EASY CHECK;https://mec.menarini.net;
Italy;Relife Italia S.R.L.;ETH;;Local;RELIFECOMPANY.IT;http://www.relifecompany.it;
Spain;LABORATORIOS MENARINI, S.A.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Spain;LABORATORIOS MENARINI, S.A.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Spain;LABORATORIOS MENARINI, S.A.;ETH;;Corporate;M-Analytics;http://10.1.23.89:9502/analytics/saw.dll?dashboard&PortalPath=%2Fshared%2FMOBI%20Home%20Page%2F_portal%2FHome%20Page;
Spain;LABORATORIOS MENARINI, S.A.;ETH;;Local;CAPTIO;http://login.captio.net/;
Spain;LABORATORIOS MENARINI, S.A.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Spain;LABORATORIOS MENARINI, S.A.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Spain;LABORATORIOS MENARINI, S.A.;ETH;;Corporate;M-Analytics;http://10.1.23.89:9502/analytics/saw.dll?dashboard&PortalPath=%2Fshared%2FMOBI%20Home%20Page%2F_portal%2FHome%20Page;
Spain;LABORATORIOS MENARINI, S.A.;ETH;;Local;CAPTIO;http://login.captio.net/;
